Designator,Mid X,Mid Y,Layer,Rotation
C1,27.1mm,8.3mm,Top,0
C2,30.0mm,11.0mm,Top,90
C3,30.3mm,8.0mm,Top,270
C4,15.0mm,43.4mm,Top,180
C5,18.4mm,19.5mm,Top,90
C6,26.4mm,19.5mm,Top,90
C7,26.9mm,37.9mm,Top,90
C8,27.1mm,40.3mm,Top,180
C9,27.0mm,33.4mm,Top,90
C10,27.0mm,35.3mm,Top,270
C11,29.5mm,34.3mm,Top,90
C12,15.8mm,22.0mm,Top,270
C13,18.2mm,22.6mm,Top,180
D1,22.0mm,42.0mm,Top,270
D2,28.1mm,22.7mm,Top,270
D3,28.0mm,39.0mm,Top,90
D4,14.3mm,24.6mm,Top,0
D5,15.0mm,39.0mm,Top,270
FB1,26.3mm,26.1mm,Top,90
J1,21.5mm,4.0mm,Top,180
J2,36.0mm,11.0mm,Top,270
J3,36.0mm,21.0mm,Top,180
J4,36.0mm,39.0mm,Top,180
J5,7.0mm,21.0mm,Top,0
J6,7.0mm,39.0mm,Top,0
J7,8.0mm,8.5mm,Top,0
R1,24.3mm,42.5mm,Top,0
R2,19.7mm,42.5mm,Top,180
R3,19.7mm,41.5mm,Top,180
R4,24.3mm,41.5mm,Top,0
R5,19.5mm,9.2mm,Top,0
R6,23.5mm,9.2mm,Top,180
R7,28.2mm,9.7mm,Top,180
R8,26.1mm,9.6mm,Top,180
R9,17.0mm,43.4mm,Top,180
R10,26.5mm,13.9mm,Top,90
R11,25.5mm,14.2mm,Top,270
R12,26.3mm,28.1mm,Top,90
R13,25.8mm,29.6mm,Top,180
R14,23.8mm,29.6mm,Top,180
R15,29.0mm,21.0mm,Top,270
R16,29.0mm,39.0mm,Top,270
R17,14.3mm,23.6mm,Top,180
R18,14.0mm,39.0mm,Top,90
R19,29.5mm,27.99mm,Top,270
R20,29.5mm,32.0mm,Top,270
R21,13.5mm,28.0mm,Top,270
R22,13.5mm,32.01mm,Top,270
R23,14.0mm,13.5mm,Top,0
R24,14.0mm,12.5mm,Top,180
SW1,33.0mm,3.0mm,Top,0
SW2,36.0mm,30.0mm,Top,90
SW3,7.0mm,30.0mm,Top,270
TH1,29.3mm,8.0mm,Top,270
U2,27.5mm,11.5mm,Top,0
U3,22.4mm,20.0mm,Top,270
U4,24.0mm,27.3mm,Top,0
U5,18.3mm,27.1mm,Top,180
