Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0603_1608Metric",27.100000,8.300000,0.000000,top
"C2","1uF","C_0603_1608Metric",30.000000,11.000000,90.000000,top
"C3","100nF","C_0402_1005Metric",30.300000,8.000000,270.000000,top
"C4","100nF","C_0402_1005Metric",15.000000,43.400000,180.000000,top
"C5","10uF","CP_EIA-3216-18_Kemet-A",18.400000,19.500000,270.000000,top
"C6","10uF","CP_EIA-3216-18_Kemet-A",26.400000,19.500000,270.000000,top
"C7","100nF","C_0402_1005Metric",26.900000,37.900000,90.000000,top
"C8","100nF","C_0402_1005Metric",27.100000,40.300000,180.000000,top
"C9","100nF","C_0402_1005Metric",27.000000,33.400000,90.000000,top
"C10","100nF","C_0402_1005Metric",27.000000,35.300000,270.000000,top
"C11","100nF","C_0402_1005Metric",29.500000,34.300000,90.000000,top
"C12","100nF","C_0402_1005Metric",15.800000,22.000000,270.000000,top
"C13","1uF","C_0603_1608Metric",18.200000,22.600000,180.000000,top
"D1","FM-B2020RGBA-HG","FM-B2020RGBA-HG",22.000000,42.000000,90.000000,top
"D2","ESD9B3.3ST5G","SMD-DFN1006",28.100000,22.700000,270.000000,top
"D3","ESD9B3.3ST5G","SMD-DFN1006",28.000000,39.000000,90.000000,top
"D4","ESD9B3.3ST5G","SMD-DFN1006",14.300000,24.600000,0.000000,top
"D5","ESD9B3.3ST5G","SMD-DFN1006",15.000000,39.000000,270.000000,top
"FB1","600R@100MHz","L_0402_1005Metric",26.300000,26.100000,90.000000,top
"J1","USB_C_Receptacle_USB2.0","TYPEC-304S-ACP16",21.500000,4.000000,0.000000,top
"J2","Battery","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal",36.000000,11.000000,90.000000,top
"J3","AudioJack3","PJ-327F",36.000000,21.000000,180.000000,top
"J4","AudioJack3","PJ-327F",36.000000,39.000000,180.000000,top
"J5","AudioJack3","PJ-327F",7.000000,21.000000,0.000000,top
"J6","AudioJack3","PJ-327F",7.000000,39.000000,0.000000,top
"J7","AC In","DC-005-5A-2.0-SMT",8.000000,8.500000,0.000000,top
"R1","150","R_0402_1005Metric",24.300000,42.500000,0.000000,top
"R2","120R","R_0402_1005Metric",19.700000,42.500000,180.000000,top
"R3","120R","R_0402_1005Metric",19.700000,41.500000,180.000000,top
"R4","120R","R_0402_1005Metric",24.300000,41.500000,0.000000,top
"R5","5K1","R_0402_1005Metric",19.500000,9.200000,0.000000,top
"R6","5K1","R_0402_1005Metric",23.500000,9.200000,180.000000,top
"R7","10K","R_0402_1005Metric",28.200000,9.700000,180.000000,top
"R8","1.1K","R_0402_1005Metric",26.250000,9.600000,180.000000,top
"R9","10K","R_0402_1005Metric",17.000000,43.400000,180.000000,top
"R10","10K","R_0402_1005Metric",26.500000,13.900000,90.000000,top
"R11","10K","R_0402_1005Metric",25.500000,14.200000,270.000000,top
"R12","560R","R_0402_1005Metric",26.300000,28.100000,90.000000,top
"R13","10K","R_0402_1005Metric",25.800000,29.600000,180.000000,top
"R14","10K","R_0402_1005Metric",23.800000,29.600000,180.000000,top
"R15","10K","R_0402_1005Metric",29.000000,21.000000,270.000000,top
"R16","10K","R_0402_1005Metric",29.000000,39.000000,270.000000,top
"R17","10K","R_0402_1005Metric",14.300000,23.600000,180.000000,top
"R18","10K","R_0402_1005Metric",14.000000,39.000000,90.000000,top
"R19","Rb","R_0402_1005Metric",29.500000,27.990000,270.000000,top
"R20","Rb","R_0402_1005Metric",29.500000,32.000000,270.000000,top
"R21","Rb","R_0402_1005Metric",13.500000,28.000000,270.000000,top
"R22","Rb","R_0402_1005Metric",13.500000,32.010000,270.000000,top
"R23","6.8K","R_0402_1005Metric",14.000000,13.500000,0.000000,top
"R24","1K","R_0402_1005Metric",14.000000,12.500000,180.000000,top
"SW1","SW_SPDT","MSK12C02-HB",33.000000,3.000000,0.000000,top
"SW2","SW_DIP_x02","SW_DIP_SPSTx02_Slide_6.7x6.64mm_W8.61mm_P2.54mm_LowProfile",36.000000,30.000000,180.000000,top
"SW3","SW_DIP_x02","SW_DIP_SPSTx02_Slide_6.7x6.64mm_W8.61mm_P2.54mm_LowProfile",7.000000,30.000000,0.000000,top
"TH1","10K NTC","R_0402_1005Metric",29.300000,8.000000,270.000000,top
"U2","XC6806XXXX11-G","LGA-10B01",27.500000,11.500000,0.000000,top
"U3","XC6203E332PR","SOT-89-3",22.400000,20.000000,90.000000,top
"U4","CJ432","SOT-23",24.000000,27.300000,180.000000,top
"U5","LM741","SOP-8_3.9x4.9mm_P1.27mm",18.300000,27.100000,270.000000,top
